1;4;22;9;19;15;18;;;;;;;;;
1;16;16;18;15;22;5;4;;;;;;;;
3;8;1;9;18;13;1;14;;;;;;;;
3;15;13;13;9;2;2;5;5;;;;;;;
1;3;11;14;15;23;12;5;4;7;5;13;5;14;2;19
1;16;16;18;15;22;1;12;;;;;;;;
2;8;5;19;9;19;;;;;;;;;;
3;15;14;2;5;14;2;19;;;;;;;;
1;2;19;2;18;1;3;2;;;;;;;;
2;1;2;12;5;19;;;;;;;;;;
6;9;7;21;18;5;19;;;;;;;;;
3;8;1;16;2;5;18;;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
3;8;1;16;2;5;18;;;;;;;;;
19;16;1;2;9;1;12;;;;;;;;;
14;5;2;23;15;18;11;19;;;;;;;;
4;9;19;5;1;19;5;;;;;;;;;
1;2;19;2;18;1;3;2;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
13;5;2;8;15;4;19;;;;;;;;;
18;5;19;21;12;2;19;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
1;3;11;14;15;23;12;5;4;7;5;13;5;14;2;19
3;8;1;16;2;5;18;;;;;;;;;
19;16;1;2;9;1;12;;;;;;;;;
14;5;2;23;15;18;11;19;;;;;;;;
13;9;7;18;1;2;9;15;14;;;;;;;
1;2;19;2;18;1;3;2;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
13;5;2;8;15;4;19;;;;;;;;;
18;5;19;21;12;2;19;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
1;3;11;14;15;23;12;5;4;7;5;13;5;14;2;19
3;8;1;16;2;5;18;;;;;;;;;
19;16;1;2;9;1;12;;;;;;;;;
14;5;2;23;15;18;11;19;;;;;;;;
3;21;12;2;21;18;1;12;;;;;;;;
2;18;1;14;19;13;9;19;19;9;15;14;;;;
1;2;19;2;18;1;3;2;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
13;5;2;8;15;4;19;;;;;;;;;
18;5;19;21;12;2;19;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
19;21;16;16;12;5;13;5;14;2;1;18;25;;;
13;1;2;5;18;9;1;12;;;;;;;;
13;5;2;8;15;4;19;;;;;;;;;
3;8;1;16;2;5;18;;;;;;;;;
13;9;3;18;15;19;16;1;2;9;1;12;;;;
5;6;6;5;3;2;19;;;;;;;;;
4;9;19;5;1;19;5;;;;;;;;;
2;18;1;14;19;13;9;19;19;9;15;14;;;;
1;2;19;2;18;1;3;2;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
13;5;2;8;15;4;19;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
3;8;1;16;2;5;18;;;;;;;;;
13;1;14;9;16;21;12;1;2;9;15;14;;;;
19;16;1;2;9;1;12;;;;;;;;;
8;5;2;5;18;15;7;5;14;5;9;2;25;;;
3;15;14;2;18;15;12;;;;;;;;;
1;2;19;2;18;1;3;2;;;;;;;;
9;14;2;18;15;4;21;3;2;9;15;14;;;;
13;5;2;8;15;4;19;;;;;;;;;
18;5;19;21;12;2;19;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
19;21;16;16;12;5;13;5;14;2;1;18;25;;;
13;1;2;5;18;9;1;12;;;;;;;;
3;8;1;16;2;5;18;;;;;;;;;
19;21;13;13;1;18;25;;;;;;;;;
4;9;19;3;21;19;19;9;15;14;;;;;;
18;5;6;5;18;5;14;3;5;19;;;;;;
